candidate_id,rank,score,reasoning
CAND_0018499,1,0.7402,"Aarav Trivedi is a Senior Machine Learning Engineer with 7.2 years experience, matching the JD's stack in Milvus, Information Retrieval, Weaviate. Demonstrates strong responsiveness (61% response rate) and available on a 15-day notice. Available immediately (sub-15-day notice)."
CAND_0045250,2,0.7385,"Priya Pandey is a Applied ML Engineer with 6.6 years experience, matching the JD's stack in Milvus, Embeddings, Qdrant. Demonstrates strong responsiveness (74% response rate) and available on a 15-day notice. Available immediately (sub-15-day notice)."
CAND_0043860,3,0.7376,"Pranav Sharma is a Junior ML Engineer with 6.1 years experience, matching the JD's stack in Information Retrieval, Qdrant, PyTorch. Demonstrates strong responsiveness (81% response rate) and available on a 30-day notice."
CAND_0005260,4,0.7363,"Mira Ghosh is a Senior NLP Engineer with 5.2 years experience, matching the JD's stack in Information Retrieval, Embeddings, MLOps. Demonstrates strong responsiveness (86% response rate) and available on a 60-day notice."
CAND_0010541,5,0.7363,"Meera Krishnan is a AI Research Engineer with 6.2 years experience, matching the JD's stack in Weaviate, MLOps, Python. Demonstrates strong responsiveness (59% response rate) and available on a 60-day notice."
CAND_0086022,6,0.7308,"Dhruv Naidu is a Senior Applied Scientist with 5.3 years experience, matching the JD's stack in Embeddings, Recommendation Systems, NLP. Demonstrates strong responsiveness (55% response rate) and available on a 0-day notice. Available immediately (sub-15-day notice)."
CAND_0081846,7,0.73,"Arjun Khanna is a Lead AI Engineer with 6.7 years experience, matching the JD's stack in Information Retrieval, Embeddings, Recommendation Systems. Demonstrates strong responsiveness (73% response rate) and available on a 30-day notice."
CAND_0098454,8,0.7296,"Jay Iyengar is a AI Specialist with 6.6 years experience, matching the JD's stack in Weaviate, Embeddings, MLOps. Demonstrates strong responsiveness (87% response rate) and available on a 60-day notice."
CAND_0007052,9,0.7255,"Nisha Bansal is a ML Engineer with 6.5 years experience, matching the JD's stack in Milvus, Weaviate, MLOps. Demonstrates strong responsiveness (85% response rate) and available on a 60-day notice."
CAND_0091899,10,0.724,"Aditya Iyer is a Senior Software Engineer (ML) with 5.8 years experience, matching the JD's stack in Milvus, Information Retrieval, FAISS. Demonstrates strong responsiveness (51% response rate) and available on a 60-day notice."
CAND_0060257,11,0.7236,"Sai Chowdary is a AI Specialist with 5.8 years experience, matching the JD's stack in Recommendation Systems, Milvus, Weaviate. Demonstrates strong responsiveness (56% response rate) and available on a 60-day notice."
CAND_0004402,12,0.7227,"Priya Malhotra is a AI Research Engineer with 6.0 years experience, matching the JD's stack in Sentence Transformers, Qdrant, PyTorch. Demonstrates strong responsiveness (83% response rate) and available on a 60-day notice."
CAND_0081480,13,0.7219,"Sneha Hegde is a Computer Vision Engineer with 5.6 years experience, matching the JD's stack in Recommendation Systems, FAISS, PyTorch. Demonstrates strong responsiveness (85% response rate) and available on a 60-day notice."
CAND_0037160,14,0.7217,"Riya Chatterjee is a Data Scientist with 6.0 years experience, matching the JD's stack in Weaviate, Embeddings, Hugging Face Transformers. Demonstrates strong responsiveness (74% response rate) and available on a 30-day notice."
CAND_0051004,15,0.7217,"Vivaan Arora is a Senior Data Scientist with 4.7 years experience, matching the JD's stack in PyTorch, Qdrant, MLOps. Demonstrates strong responsiveness (41% response rate) and available on a 15-day notice. Available immediately (sub-15-day notice)."
CAND_0070525,16,0.7213,"Ved Kumar is a Senior Software Engineer (ML) with 5.4 years experience, matching the JD's stack in Recommendation Systems, Embeddings, Python. Demonstrates strong responsiveness (93% response rate) and available on a 45-day notice."
CAND_0068932,17,0.7209,"Anil Mukherjee is a ML Engineer with 5.2 years experience, matching the JD's stack in RAG, Milvus, MLOps. Demonstrates strong responsiveness (82% response rate) and available on a 30-day notice."
CAND_0046525,18,0.7202,"Tanvi Mukherjee is a Senior Machine Learning Engineer with 6.1 years experience, matching the JD's stack in Information Retrieval, Qdrant, NLP. Demonstrates strong responsiveness (88% response rate) and available on a 60-day notice."
CAND_0062247,19,0.719,"Saanvi Trivedi is a AI Engineer with 7.3 years experience, matching the JD's stack in Information Retrieval, Qdrant, Pinecone. Demonstrates strong responsiveness (78% response rate) and available on a 30-day notice."
CAND_0072721,20,0.719,"Reyansh Menon is a Data Scientist with 3.7 years experience, matching the JD's stack in Weaviate, Embeddings, MLOps. Demonstrates strong responsiveness (53% response rate) and available on a 30-day notice."
CAND_0094759,21,0.7185,"Aditya Pillai is a Lead AI Engineer with 8.6 years experience, matching the JD's stack in Weaviate, FAISS, MLOps. Demonstrates strong responsiveness (11% response rate) and available on a 30-day notice."
CAND_0069771,22,0.7179,"Sneha Joshi is a Junior ML Engineer with 5.7 years experience, matching the JD's stack in Milvus, Qdrant, FAISS. Demonstrates strong responsiveness (36% response rate) and available on a 45-day notice."
CAND_0092255,23,0.7173,"Jay Chatterjee is a ML Engineer with 5.2 years experience, matching the JD's stack in Weaviate, MLOps, OpenSearch. Demonstrates strong responsiveness (38% response rate) and available on a 60-day notice."
CAND_0077337,24,0.7171,"Aarav Agarwal is a Staff Machine Learning Engineer with 7.0 years experience, matching the JD's stack in Information Retrieval, Recommendation Systems, Python. Demonstrates strong responsiveness (95% response rate) and available on a 60-day notice."
CAND_0016657,25,0.7149,"Mira Saxena is a AI Research Engineer with 5.3 years experience, matching the JD's stack in MLOps, Pinecone, RAG. Demonstrates strong responsiveness (52% response rate) and available on a 60-day notice."
CAND_0082086,26,0.7148,"Aryan Krishnan is a Senior Software Engineer (ML) with 6.0 years experience, matching the JD's stack in PyTorch, Milvus, FAISS. Demonstrates strong responsiveness (85% response rate) and available on a 45-day notice."
CAND_0000031,27,0.7139,"Ela Singh is a Recommendation Systems Engineer with 6.0 years experience, matching the JD's stack in Information Retrieval, FAISS, Embeddings. Demonstrates strong responsiveness (91% response rate) and available on a 60-day notice."
CAND_0042506,28,0.7138,"Zara Pandey is a Search Engineer with 4.2 years experience, matching the JD's stack in Milvus, Information Retrieval, FAISS. Demonstrates strong responsiveness (48% response rate) and available on a 15-day notice. Available immediately (sub-15-day notice)."
CAND_0070653,29,0.7136,"Meera Khanna is a AI Specialist with 5.0 years experience, matching the JD's stack in FAISS, MLOps, Python. Demonstrates strong responsiveness (36% response rate) and available on a 30-day notice."
CAND_0040955,30,0.7131,"Ritu Shah is a Junior ML Engineer with 6.6 years experience, matching the JD's stack in NLP, Sentence Transformers, MLOps. Demonstrates strong responsiveness (51% response rate) and available on a 30-day notice."
CAND_0098952,31,0.7125,"Dev Sethi is a AI Research Engineer with 5.5 years experience, matching the JD's stack in Recommendation Systems, NLP, Python. Demonstrates strong responsiveness (66% response rate) and available on a 45-day notice."
CAND_0079284,32,0.7122,"Ishaan Dutta is a Machine Learning Engineer with 4.9 years experience, matching the JD's stack in Recommendation Systems, Qdrant, NLP. Demonstrates strong responsiveness (79% response rate) and available on a 30-day notice."
CAND_0092568,33,0.711,"Yash Bhatia is a AI Specialist with 5.7 years experience, matching the JD's stack in Milvus, Pinecone, Python. Demonstrates strong responsiveness (39% response rate) and available on a 60-day notice."
CAND_0032216,34,0.7108,"Rahul Shetty is a ML Engineer with 6.1 years experience, matching the JD's stack in Information Retrieval, MLOps, Qdrant. Demonstrates strong responsiveness (35% response rate) and available on a 30-day notice."
CAND_0027691,35,0.7103,"Ayaan Goyal is a NLP Engineer with 6.5 years experience, matching the JD's stack in Weaviate, Embeddings, Recommendation Systems. Demonstrates strong responsiveness (68% response rate) and available on a 15-day notice. Available immediately (sub-15-day notice)."
CAND_0045475,36,0.7102,"Advaith Vora is a ML Engineer with 4.9 years experience, matching the JD's stack in Pinecone, FAISS, PyTorch. Demonstrates strong responsiveness (55% response rate) and available on a 60-day notice."
CAND_0099806,37,0.7102,"Pranav Subramanian is a AI Engineer with 4.6 years experience, matching the JD's stack in Weaviate, FAISS, Embeddings. Demonstrates strong responsiveness (76% response rate) and available on a 30-day notice."
CAND_0030348,38,0.71,"Om Mishra is a Machine Learning Engineer with 4.5 years experience, matching the JD's stack in Embeddings, MLOps, Python. Demonstrates strong responsiveness (54% response rate) and available on a 45-day notice."
CAND_0042029,39,0.7097,"Dhruv Joshi is a Senior Data Scientist with 6.5 years experience, matching the JD's stack in Weaviate, Embeddings, Hugging Face Transformers. Demonstrates strong responsiveness (67% response rate) and available on a 45-day notice."
